Date,Time,Account,CallerID,Destination,Description,Seconds,Rate,Total,UniqueID
2022-09-19,22:36:09,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,43,0,0,2975613039
2022-09-19,22:19:10,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,107,0,0,2975608251
2022-09-19,22:12:24,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,21,0,0,2975605479
2022-09-19,22:12:22,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,108,0,0,2975605980
2022-09-19,22:09:44,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,18,0,0,2975604568
2022-09-19,22:08:55,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Inbound DID,17,0,0,2975604226
2022-09-19,22:00:22,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,10,0,0,2975601149
2022-09-19,22:00:10,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,7,0,0,2975600978
2022-09-19,21:59:56,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,8,0,0,2975600866
2022-09-19,21:53:51,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,137,0,0,2975599457
2022-09-19,21:53:43,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,21,0,0,2975598617
2022-09-19,21:53:17,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Inbound DID,79,0,0,2975598788
2022-09-19,21:51:56,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,54,0,0,2975598081
2022-09-19,21:51:29,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,18,0,0,2975597692
2022-09-19,21:51:11,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,75,0,0,2975597958
2022-09-19,21:51:04,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Toll Free,35,0,0,2975597650
2022-09-19,21:50:22,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,1,0,0,2975597126
2022-09-19,21:50:05,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Inbound DID,17,0,0,2975597108
2022-09-19,21:49:38,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,22,0,0,2975596984
2022-09-19,21:49:22,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,127,0,0,2975597539
2022-09-19,21:48:03,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Canada - 514 Quebec,123,0.0042,0.0088,2975597107
2022-09-19,21:45:42,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,79,0,0,2975595695
2022-09-19,21:43:31,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,85,0,0,2975594813
2022-09-19,21:43:17,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Inbound DID,1,0,0,2975594145
2022-09-19,21:42:51,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,72,0,0,2975594414
2022-09-19,21:42:43,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,142,0,0,2975594877
2022-09-19,21:42:14,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,10,0,0,2975593801
2022-09-19,21:41:38,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,18,0,0,2975593637
2022-09-19,21:41:00,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Canada - 514 Quebec,43,0.0042,0.0034,2975593605
2022-09-19,21:40:48,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,90,0,0,2975593753
2022-09-19,21:40:41,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,71,0,0,2975593612
2022-09-19,21:37:21,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,87,0,0,2975592441
2022-09-19,21:36:43,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,91,0,0,2975592206
2022-09-19,21:36:41,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,51,0,0,2975591918
